application,animal_print,army,bodoque,cachemere,camouflage,checked,diagonal_stripe,ethnic,floral,geometric,gradient,herringbone,horizontal_stripes,liberty,miniprint,other,pied_de_poule,polka_dot,prince_of_wales,printed,retro,sheets,smooth,tartan,tie_dye,tropical,two_tone,vertical_stripes,vichy
freetime,501.0,13.0,122.0,75.0,17.0,146.0,22.0,126.0,1183.0,210.0,6.0,49.0,931.0,3.0,373.0,59.0,56.0,174.0,33.0,309.0,156.0,269.0,9460.0,14.0,7.0,46.0,57.0,593.0,13.0
night,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
special_occasion,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,7.0,0.0,0.0
work,0.0,0.0,7.0,10.0,0.0,54.0,0.0,0.0,16.0,14.0,0.0,9.0,58.0,3.0,35.0,0.0,14.0,0.0,22.0,0.0,7.0,0.0,1058.0,0.0,0.0,0.0,0.0,121.0,0.0
working_girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
