origin,season,color_name,size,application,bag_type,fabric,finishing,fit,foulard_type,outside_type,print,style,top_type,weather,nivel,dress/jumpsuit,grupo
MAINSTREAM,9,black,XS,freetime,,cheesecloth,,straight,,,smooth,classic,tops,cold_season,2,False,
MAINSTREAM,9,black,XXL,freetime,,cheesecloth,,straight,,,smooth,classic,tops,cold_season,2,False,
NO_MAINSTREAM,9,black,L,work,,synthetic,touchable,straight,,,smooth,boho,tops,warm,2,False,
NO_MAINSTREAM,9,black,M,work,,synthetic,touchable,straight,,,smooth,boho,tops,warm,2,False,
NO_MAINSTREAM,9,black,S,work,,synthetic,touchable,straight,,,smooth,boho,tops,warm,2,False,
NO_MAINSTREAM,9,khaki,L,work,,synthetic,touchable,straight,,,smooth,boho,tops,warm,2,False,
NO_MAINSTREAM,9,khaki,M,work,,synthetic,touchable,straight,,,smooth,boho,tops,warm,2,False,
NO_MAINSTREAM,9,khaki,S,work,,synthetic,touchable,straight,,,smooth,boho,tops,warm,2,False,
NO_MAINSTREAM,9,brick,L,special_occasion,,satin,satiny,straight,,,smooth,night,tops,warm,2,False,
NO_MAINSTREAM,9,brick,M,special_occasion,,satin,satiny,straight,,,smooth,night,tops,warm,2,False,
NO_MAINSTREAM,9,brick,S,special_occasion,,satin,satiny,straight,,,smooth,night,tops,warm,2,False,
NO_MAINSTREAM,9,grey_dark,L,special_occasion,,satin,satiny,straight,,,smooth,night,tops,warm,2,False,
NO_MAINSTREAM,9,grey_dark,M,special_occasion,,satin,satiny,straight,,,smooth,night,tops,warm,2,False,
NO_MAINSTREAM,9,grey_dark,S,special_occasion,,satin,satiny,straight,,,smooth,night,tops,warm,2,False,
NO_MAINSTREAM,9,green_light,L,freetime,,popeline,touchable,straight,,,tropical,boho,tops,warm,2,False,
NO_MAINSTREAM,9,green_light,M,freetime,,popeline,touchable,straight,,,tropical,boho,tops,warm,2,False,
NO_MAINSTREAM,9,green_light,S,freetime,,popeline,touchable,straight,,,tropical,boho,tops,warm,2,False,
WHOLE_SALE,9,mustand,L,freetime,,chiffon,,straight,,,floral,boho,tops,warm_season,2,False,
WHOLE_SALE,9,mustand,M,freetime,,chiffon,,straight,,,floral,boho,tops,warm_season,2,False,
WHOLE_SALE,9,mustand,S,freetime,,chiffon,,straight,,,floral,boho,tops,warm_season,2,False,
WHOLE_SALE,9,pink,L,freetime,,thread,,loose,,,retro,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,M,freetime,,thread,,loose,,,retro,boho,tops,warm,2,False,
WHOLE_SALE,9,pink,S,freetime,,thread,,loose,,,retro,boho,tops,warm,2,False,
